User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Elko Daily FreePress,@ElkoDaily,2022-09-29T22:41:02.000Z,"Elko Daily FreePress
@ElkoDaily
·
Sep 30, 2022Newmont Corp. announced Sept. 28 that Nancy Buese will step down from the role of executive vice president and chief financial officer of Newmont on Nov. 1, as she pursues
elkodaily.com
Newmont CFO steps down
Newmont Corp. announced Sept. 28 that Nancy Buese will step down from the role of executive vice president and chief financial officer of Newmont on Nov. 1, as she pursues",,,
Boadu Nyarko Dominic,@boadu6dominic,2022-09-29T20:07:59.000Z,"Boadu Nyarko Dominic
@boadu6dominic
·
Sep 29, 2022Replying to 
@NewmontCorp
 and 
@newmont_mexico
Well done",,,
Newmont Corporation,@NewmontCorp,2022-09-29T19:45:49.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 29, 2022.
@newmont_mexico
 and partners have launched the Together for Recycling program, which recently installed 10 recycling containers at 6 local schools. Programs like TFR bring many benefits: they help protect the environment, support the community and bolster economic development.
1
6
9",1,6,9
ReThink Mining,@ReThinkMining,2022-09-29T14:05:44.000Z,"ReThink Mining
@ReThinkMining
·
Sep 29, 2022The CAHM project is a consortium powered by CMIC that includes, but is not limited to, 
@agnicoeagle
, 
@Glencore
, 
@kinrossgold
, 
@NewmontCorp
, 
@TeckResources
, 
@valeglobal
, CTTI, Corem, Rockwell Automation, MolyCop and Optimize Group. 

The project is managed by Gillian Holcroft.",,,
Sakura | @Saku@kolektiva.social,Sakura | @Saku@kolektiva.social,2022-09-29T12:52:46.000Z,"Sakura | @Saku@kolektiva.social
@sakura1979
·
Sep 29, 2022For the last decade, nearby communities have confronted the environmental, social and health impacts of this dangerous project.  Their concerns must be immediately addressed. 
@energiayminasrd
 @BarrickRD
 @BarrickGold
  @NewmontCorp
jacobin.com
The Canadian Mining Company Dominicans Call “Worse Than Columbus”
We traveled to the Dominican Republic to talk to rural farmers and workers battling a Canadian mining company. “We had no concept of what the devil was until Barrick Gold came to our lands,” one...
1
1",,1,1
Mentor Demi,@mentordemi,2022-09-29T07:59:38.000Z,"Mentor Demi
@mentordemi
·
Sep 29, 2022Great few days with 
@NewmontCorp
 on site visits around the Balkans.
1
5",,1,5
Newmont Corporation,@NewmontCorp,2022-09-28T19:56:58.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 28, 2022Newmont supports 
@ICMM_com
’s new Tailings Reduction Roadmap – part of its Tailings Innovation Initiative – which lays out approaches and solutions that can reduce and eliminate tailings waste from the mine lifecycle. #MiningWithPrinciples
ICMM
@ICMM_com
·
Sep 22, 2022
Today we publish our Tailings Reduction Roadmap, setting out innovative solutions significantly reduce and where possible eliminate tailings waste from the mine life cycle, as part of our broader Innovation Initiative.

Learn more: http://icmm.com/en-gb/news/2022/icmm-publishes-tailings-reduction-roadmap… #MiningWithPrinciples
1
2",,1,2
Mining Press / EnerNews,@MiningPress,2022-09-28T15:00:02.000Z,"Mining Press / EnerNews
@MiningPress
·
Sep 28, 2022Mining Press | Minería argentina a escala mundial: Reflexión de Álvarez, Sampalione, Bareta, Miguens y Vitaller

 https://bit.ly/3UMh8Ko
@camaramineraarg
 @BarrickArg
 @ProyectoMara
 @NewmontCorp
 @PatagoniaGold",,,
Quantcha Trade Ideas,@QuantchaIdeas,2022-09-28T04:21:49.000Z,"Quantcha Trade Ideas
@QuantchaIdeas
·
Sep 28, 2022StockTwits Trending Alert: Trading recent interest in NEWMONT CORP $NEM https://ideas.quantcha.com/2022/09/27/stocktwits-trending-alert-trading-recent-interest-in-newmont-corp-nem/…",,,
Kwhen Finance,@kwhenfinance,2022-09-27T22:45:21.000Z,"Kwhen Finance
@kwhenfinance
·
Sep 28, 2022Newmont Corp Shares Near 52-Week Low - Market Mover https://ayr.app/l/eS8h $NEM #stockmarket #kwhenfinance
kwhen.com
Kwhen - Newmont Corp Shares Near 52-Week Low - Market Mover
The shares closed 1.3% above its 52-week low of $39.74, with trading volume lower than its 30 day average",,,
Newmont Corporation,@NewmontCorp,2022-09-27T21:45:52.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 27, 2022This week, Newmont’s Chief Development Officer for Peru, Dean Gehring, keynoted at the Future of Mining Americas. Dean spoke to how the mining industry can achieve ESG strategy and gain a competitive advantage in the marketplace. 1/2
Mining Journal
7",,,7
Evergold Corp,@EvergoldC,2022-09-27T21:10:04.000Z,"Evergold Corp
@EvergoldC
·
Sep 27, 2022With 40+ years in the mineral exploration sector, C.J. (Charlie) Greig is among the most experienced & successful geologists in BC, most recently he led GT Gold Corp’s Saddle South & Saddle North discoveries, acquired in 2021 by Newmont

More: https://bit.ly/3ewSEEb

$EVER #Gold
1
5",,1,5
Newcore Gold,@NewcoreGold,2022-09-27T19:29:39.000Z,"Newcore Gold
@NewcoreGold
·
Sep 27, 2022""They could allocate capital to any country, any province, or any jurisdiction on the planet. Ghana is where they are investing their capital""

- 
@LukeNCAU
 on 
@NewmontCorp
's US$750-850M investment into Ghana. 

Read his interview with 
@northernminer
:
northernminer.com
Beaver Creek: Miners get things done in underexplored West Africa - The Northern Miner
Amid an ebbing of mining investment sentiment as project proponents big and small take a pause and wait out decade-high inflation and high interest rates, West Africa is an outlier, emerging as a...
1",,,1
